CSAFP,GEOID,NAME,CBSA_TYPE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                             
548,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1,16179837126,1124663821,6247.07,434.235,38.816928,-77.448228
198,47920,"Washington Court House, OH Micro Area",2,1052469899,1694037,406.361,0.654,39.555246,-83.461893
376,48020,"Watertown-Fort Atkinson, WI Micro Area",2,1441198727,68095317,556.45,26.292,43.013804,-88.773985
554,48140,"Wausau, WI Metro Area",1,4001465174,81219897,1544.974,31.359,44.898036,-89.757823
430,48260,"Weirton-Steubenville, WV-OH Metro Area",1,1502240257,29714225,580.018,11.473,40.388914,-80.701966
200,48500,"West Point, MS Micro Area",2,1062066012,15393112,410.066,5.943,33.661733,-88.783326
376,48580,"Whitewater-Elkhorn, WI Micro Area",2,1438141978,55217124,555.27,21.319,42.66811,-88.541731
556,48620,"Wichita, KS Metro Area",1,12981305093,92913880,5012.11,35.874,37.629831,-97.398832
558,48700,"Williamsport, PA Metro Area",1,3182098644,39419361,1228.615,15.22,41.34362,-77.055225
178,48940,"Wilmington, OH Micro Area",2,1058487159,9351754,408.684,3.611,39.429004,-83.795048
468,48980,"Wilson, NC Micro Area",2,952010950,14334531,367.573,5.535,35.700357,-77.921598
548,49020,"Winchester, VA-WV Metro Area",1,2752096344,17341183,1062.59,6.695,39.272974,-78.471828
268,49180,"Winston-Salem, NC Metro Area",1,5202226855,81490113,2008.591,31.464,36.078852,-80.345064
554,49220,"Wisconsin Rapids-Marshfield, WI Micro Area",2,2053928984,42054151,793.026,16.237,44.461413,-90.038825
148,49340,"Worcester, MA-CT Metro Area",1,5240810464,199167192,2023.488,76.899,42.217311,-71.925535
276,49620,"York-Hanover, PA Metro Area",1,2341882815,16941833,904.206,6.541,39.921751,-76.728889
566,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",1,4408711803,109163637,1702.213,42.148,41.236302,-80.561868
472,49700,"Yuba City, CA Metro Area",1,3197189484,46775303,1234.442,18.06,39.160969,-121.511833
198,49780,"Zanesville, OH Micro Area",2,1721328762,20656658,664.609,7.976,39.966046,-81.943506
,19000,"Cullowhee, NC Micro Area",2,1272156138,9781460,491.182,3.777,35.279929,-83.122478
,45000,"Susanville, CA Micro Area",2,11761615611,463426050,4541.185,178.93,40.721086,-120.629952
,11020,"Altoona, PA Metro Area",1,1361815246,3285511,525.8,1.269,40.497922,-78.310636
,17020,"Chico, CA Metro Area",1,4238438196,105310997,1636.47,40.661,39.665959,-121.601919
,26020,"Hobbs, NM Micro Area",2,11373741670,8469171,4391.426,3.27,32.795687,-103.413271
,27020,"Iron Mountain, MI-WI Micro Area",2,3235063580,64631590,1249.065,24.954,45.947703,-88.080959
,30020,"Lawton, OK Metro Area",1,4408014170,61426399,1701.944,23.717,34.52911,-98.430917
,35020,"Natchez, MS-LA Micro Area",2,3002636543,195603635,1159.324,75.523,31.481833,-91.525331
,44020,"Spirit Lake, IA Micro Area",2,985539078,60716111,380.519,23.443,43.389611,-95.196057
,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",1,8548552397,815578711,3300.615,314.897,35.385224,-120.447544
,45020,"Sweetwater, TX Micro Area",2,2362061742,5052158,911.997,1.951,32.312338,-100.418108
,11060,"Altus, OK Micro Area",2,2078855934,4114419,802.651,1.589,34.593949,-99.41221
,15060,"Brookings, OR Micro Area",2,4217568363,934534728,1628.412,360.826,42.466439,-124.210929
,16060,"Carbondale-Marion, IL Metro Area",1,2600987211,110033784,1004.247,42.484,37.757331,-89.193181
,19060,"Cumberland, MD-WV Metro Area",1,1942504766,18434746,750.005,7.118,39.532185,-78.807082
,20060,"Douglas, GA Micro Area",2,1490399436,70456631,575.446,27.203,31.549245,-82.844938
,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",1,4586307596,2098082750,1770.783,810.074,30.430245,-88.979736
,28060,"Kalispell, MT Micro Area",2,13175679131,437280390,5087.158,168.835,48.314678,-114.054295
,30060,"Lebanon, MO Micro Area",2,1980565357,8515352,764.701,3.288,37.659688,-92.59484
,35060,"Natchitoches, LA Micro Area",2,3243341073,121033890,1252.261,46.731,31.732551,-93.082611
,37060,"Oxford, MS Micro Area",2,1636137315,123056595,631.716,47.512,34.349298,-89.485903
,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",1,37723346389,86642737,14565.066,33.453,33.185765,-112.067862
,39060,"Pottsville, PA Micro Area",2,2016645900,10834897,778.631,4.183,40.703682,-76.217788
,40060,"Richmond, VA Metro Area",1,11849685107,328230875,4575.189,126.731,37.531399,-77.476009
,48060,"Watertown-Fort Drum, NY Metro Area",1,3285895343,1524639909,1268.691,588.667,43.996389,-76.052968
,47080,"Vidalia, GA Micro Area",2,1563141883,31477643,603.532,12.154,32.154218,-82.411379
,49080,"Winnemucca, NV Micro Area",2,24969533279,44196979,9640.791,17.065,41.407914,-118.127591
,10100,"Aberdeen, SD Micro Area",2,7352949525,111439358,2838.99,43.027,45.522221,-98.704155
,15100,"Brookings, SD Micro Area",2,2051804710,32967600,792.206,12.729,44.376675,-96.797797
,16100,"Carlsbad-Artesia, NM Micro Area",2,10816855244,56325882,4176.411,21.748,32.457835,-104.306434
,18100,"Columbus, NE Micro Area",2,1745910545,27167485,674.1,10.489,41.576866,-97.513467
,25100,"Guymon, OK Micro Area",2,5286926133,19215617,2041.294,7.419,36.746317,-101.483855
,27100,"Jackson, MI Metro Area",1,1817385089,56453210,701.696,21.797,42.248474,-84.420868
,29100,"La Crosse-Onalaska, WI-MN Metro Area",1,2599861417,116606068,1003.812,45.022,43.783246,-91.318743
,32100,"Marquette, MI Micro Area",2,4685386476,4185372277,1809.038,1615.981,46.656596,-87.584028
,36100,"Ocala, FL Metro Area",1,4114226894,192048864,1588.512,74.15,29.202805,-82.0431
